[2025-07-25 17:49:37] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 17:49:37] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 17:49:37] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 17:49:37] INFO     ✅ Finished cleaning: HS 010130, Year 2010, Flow M
[2025-07-25 17:50:02] WARNING  ⚠️ No valid UV records available for 010130-2010-m — skipping outlier detection.
[2025-07-25 17:54:25] WARNING  ⚠️ No valid UV records available for 010130-2010-m — skipping outlier detection.
[2025-07-25 17:54:30] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010130_2010.csv
[2025-07-25 17:54:30] INFO     🧹 Cleaning Summary:
[2025-07-25 17:54:30] INFO      - Initial rows: 5
[2025-07-25 17:54:30] INFO      - Valid country filter: 5 (100.00%)
[2025-07-25 17:54:30] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 17:54:30] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 17:54:30] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 17:54:30] INFO     ✅ Finished cleaning: HS 010130, Year 2010, Flow M
[2025-07-25 17:54:37] WARNING  ⚠️ No valid UV records available for 010130-2010-m — skipping outlier detection.
[2025-07-25 17:57:50] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010130_2010.csv
[2025-07-25 17:57:50] INFO     🧹 Cleaning Summary:
[2025-07-25 17:57:50] INFO      - Initial rows: 5
[2025-07-25 17:57:50] INFO      - Valid country filter: 5 (100.00%)
[2025-07-25 17:57:50] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 17:57:50] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 17:57:50] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 17:57:50] INFO     ✅ Finished cleaning: HS 010130, Year 2010, Flow M
[2025-07-25 18:50:46] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010130_2010.csv
[2025-07-25 18:50:46] INFO     🧹 Cleaning Summary:
[2025-07-25 18:50:46] INFO      - Initial rows: 5
[2025-07-25 18:50:46] INFO      - Valid country filter: 5 (100.00%)
[2025-07-25 18:50:46] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 18:50:46] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 18:50:46] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 18:50:46] INFO     ✅ Finished cleaning: HS 010130, Year 2010, Flow M
